object_id,true_label,ground_truth_anomaly,anomaly_score,predicted_anomaly,classifier_prediction,classifier_confidence,ae_norm,mahalanobis_norm,energy_norm
ZTF_SN_Ia_0000,SN_Ia,0,0.09196369945499136,False,SN_Ia,0.39540988206863403,0.030977826997169087,0.01981153499377933,0.1912589125440976
ZTF_SN_II_0001,SN_II,0,0.676716020754383,True,Variable_Star,0.3922584652900696,0.9801596262964849,0.47250725131673815,0.1736549235576206
ZTF_SN_II_0013,SN_II,0,0.04744555401881251,False,SN_II,0.3850807249546051,0.025743146480597275,0.009084320464509096,0.09166034353739708
ZTF_Variable_Star_0023,Variable_Star,0,0.09216109296178081,False,Variable_Star,0.543441653251648,0.03162500126881977,0.11471388067957615,0.12480301491369289
ZTF_SN_Ia_0032,SN_Ia,0,0.49602206355079914,False,Variable_Star,0.30308493971824646,0.49495562321838427,0.12703894512330613,0.7551633987159762
ZTF_SN_II_0033,SN_II,0,0.018965717416590772,False,Variable_Star,0.5231618285179138,0.01606895401208007,0.02430410571461486,0.010788406948550086
ZTF_Variable_Star_0035,Variable_Star,0,0.5216070001666309,False,SN_II,0.43361419439315796,0.8316056992017604,0.24178541887048824,0.10736059648989325
ZTF_Stellar_Flare_0046,Stellar_Flare,0,0.8148037442772427,True,Stellar_Flare,0.4701984226703644,0.8800380340768905,0.8452144567134842,0.60261959338742
ZTF_Variable_Star_0051,Variable_Star,0,0.061779498188684376,False,Variable_Star,0.3824789524078369,0.029292802013710127,0.016794431022190894,0.11925840214520919
ZTF_Variable_Star_0059,Variable_Star,0,0.01834589987374313,False,SN_Ia,0.6261098384857178,0.018426453266886803,0.025830827462448004,0.00025318823182155154
ZTF_SN_Ia_0072,SN_Ia,0,0.7305646697042789,True,Variable_Star,0.33927226066589355,0.9944473741782497,0.27661104207747,0.6800047167494871
ZTF_Stellar_Flare_0074,Stellar_Flare,0,0.1663508893741399,False,Stellar_Flare,0.46695107221603394,0.05327524444590572,0.058887483097542374,0.3320357897103455
ZTF_Stellar_Flare_0078,Stellar_Flare,0,0.010761605070449858,False,SN_Ia,0.4142338037490845,0.007735969334037202,0.0073188556559269265,0.015592038249746035
ZTF_SN_II_0081,SN_II,0,0.03566985170828426,False,Variable_Star,0.4181356132030487,0.028872493573718093,0.003917353188119235,0.0633344871800527
ZTF_Stellar_Flare_0082,Stellar_Flare,0,0.16541514282256217,False,SN_Ia,0.3913950026035309,0.15779813873203127,0.2173514310000036,0.05295525774155216
ZTF_Variable_Star_0083,Variable_Star,0,0.04696641247675497,False,SN_Ia,0.3913193941116333,0.03030957524150919,0.013913905335936089,0.0834286372635248
ZTF_SN_II_0093,SN_II,0,0.06838989781629709,False,Variable_Star,0.6062800884246826,0.06780706344632875,0.0944488912456283,0.006780848577851529
ZTF_SN_Ia_0096,SN_Ia,0,0.7237009235575609,True,Stellar_Flare,0.3410634994506836,0.7445524832726373,0.8375821703034859,0.41702343582321855
ZTF_SN_Ia_0100,SN_Ia,0,0.17711979893397486,False,Variable_Star,0.42682310938835144,0.037355611398667624,0.019338683806358087,0.3993779295515524
ZTF_Stellar_Flare_0106,Stellar_Flare,0,0.05017035776755149,False,SN_Ia,0.4741680324077606,0.025703859296499872,0.08436194924906054,0.007256935765612368
ZTF_ANOMALY_LRN_0000,LRN,1,0.27905649554290624,False,Variable_Star,0.3576202094554901,0.08841974350372137,0.047724501174652434,0.5934982932320317
ZTF_ANOMALY_SLSN_0001,SLSN,1,0.7933168936741211,True,SN_II,0.3432832658290863,0.9935720833921352,0.9805701391203274,0.010498856782595592
ZTF_ANOMALY_TDE_0002,TDE,1,0.10379567902427275,False,Variable_Star,0.3812708556652069,0.08316186653146017,0.11717813500244421,0.10469188466516131
ZTF_ANOMALY_LRN_0003,LRN,1,0.3817023767491995,False,Variable_Star,0.489820271730423,0.4727717028357174,0.24765270212249413,0.3325916734016406
ZTF_ANOMALY_SLSN_0004,SLSN,1,0.7398269484368521,True,SN_II,0.3933901786804199,0.9581157582708312,0.8544577666223051,0.01179289740887272
ZTF_ANOMALY_TDE_0005,TDE,1,0.10091082731600282,False,SN_Ia,0.6357669830322266,0.11721031174839099,0.1320263240706372,0.0001544600130592022
ZTF_ANOMALY_LRN_0006,LRN,1,0.12526771630449846,False,Variable_Star,0.5180575847625732,0.14662839470685127,0.09003056090972116,0.11906197001106936
ZTF_ANOMALY_SLSN_0007,SLSN,1,0.7740693965812347,True,SN_II,0.4166671335697174,0.971768942289699,0.9542910731778298,0.007740230503994136
ZTF_ANOMALY_TDE_0008,TDE,1,0.11257029969065704,False,Variable_Star,0.47854670882225037,0.027984939874774347,0.024587925855693353,0.24182624922783777
ZTF_ANOMALY_LRN_0009,LRN,1,0.18626505607071459,False,Variable_Star,0.3655708432197571,0.03280813802776247,0.020479594419509077,0.42508041366092014
ZTF_ANOMALY_SLSN_0010,SLSN,1,0.7808205272298057,True,SN_II,0.3368260860443115,0.9903480474803841,0.9293994441856452,0.0280384908401261
ZTF_ANOMALY_TDE_0011,TDE,1,0.19974331729867745,False,Variable_Star,0.45713746547698975,0.059361870416620166,0.17017494291575588,0.3327463368723683
ZTF_ANOMALY_LRN_0012,LRN,1,0.8759020146268129,True,Stellar_Flare,0.39051583409309387,0.869845944326561,0.9621088128442458,0.6786954113853777
ZTF_ANOMALY_SLSN_0013,SLSN,1,0.5967691115457544,False,SN_II,0.43744197487831116,0.7189622436085541,0.7603438711691501,0.008680677149124816
ZTF_ANOMALY_TDE_0014,TDE,1,0.6996362006216313,True,Variable_Star,0.3967035710811615,0.5608772505907951,0.826817444810909,0.6164155346167032
ZTF_ANOMALY_LRN_0015,LRN,1,0.6821409542914718,True,Variable_Star,0.43354532122612,0.9528271226664756,0.32630420347075073,0.476528367665471
ZTF_ANOMALY_SLSN_0016,SLSN,1,0.7615733129242453,True,SN_II,0.4014468193054199,0.9822176961236299,0.8891842842236755,0.009242556786642965
ZTF_ANOMALY_TDE_0017,TDE,1,0.01376554603979538,False,Variable_Star,0.5612847208976746,0.0050171710520882555,0.01773648065728674,0.01798459179771713
ZTF_ANOMALY_LRN_0018,LRN,1,0.024749426678423232,False,SN_II,0.43181753158569336,0.01090355190948971,0.02051852672068606,0.038787756463986064
ZTF_ANOMALY_SLSN_0019,SLSN,1,0.8014219866891585,True,Variable_Star,0.3362630009651184,0.9980039036451555,0.9937251193771702,0.021084616840350047
ZTF_ANOMALY_TDE_0020,TDE,1,0.34363502680068914,False,SN_Ia,0.3773690462112427,0.4288281600832996,0.3578325467203504,0.10225635237837588
ZTF_ANOMALY_LRN_0021,LRN,1,0.3326040565770426,False,Variable_Star,0.38152268528938293,0.18387229521294685,0.3461135112315774,0.4421328474101449
ZTF_ANOMALY_SLSN_0022,SLSN,1,0.7193507748672279,True,SN_II,0.4780551791191101,0.7890596633764206,0.9704118508245732,0.005269970954890836
ZTF_ANOMALY_TDE_0023,TDE,1,0.06830178657683739,False,SN_Ia,0.37414008378982544,0.010249683240711448,0.022562421262782975,0.14676102496557622
ZTF_ANOMALY_LRN_0024,LRN,1,0.03155301269685192,False,Variable_Star,0.5442689061164856,0.010992312619960165,0.03116211042044432,0.04827520435185064
ZTF_ANOMALY_SLSN_0025,SLSN,1,0.7475738946708567,True,SN_II,0.5341808199882507,0.8719163189724934,0.9755329170000777,0.0015243621981072893
ZTF_ANOMALY_TDE_0026,TDE,1,0.42084497851426667,False,Variable_Star,0.3384288251399994,0.30395755174358485,0.12826223734275274,0.719162838750872
ZTF_ANOMALY_LRN_0027,LRN,1,0.1708733706360902,False,SN_Ia,0.3518962860107422,0.027853331119860266,0.11191288727278186,0.32656174060339
ZTF_ANOMALY_SLSN_0028,SLSN,1,0.4888520380758751,False,SN_II,0.44351550936698914,0.3791835398895807,0.76384128340283,0.004347446389254172
ZTF_ANOMALY_TDE_0029,TDE,1,0.16673328686707198,False,SN_Ia,0.5766504406929016,0.1507347749740675,0.2460905507173734,0.0018734726551556666
